model_name,dataset_type,learning_type,format_type,precision,recall,f1_score,accuracy,true_positives,false_positives,true_negatives,false_negatives,n_tables,n_claims,result_file
llama3.2:latest,test_examples,zero_shot,html,0.6446974236069503,0.5075471698113208,0.5679598838743732,0.6075281707024694,1076,593,1458,1044,1695,4171,results_with_cells_llama3.2:latest_test_examples_1695_zero_shot_html.json
llama3.2:latest,test_examples,zero_shot,naturalized,0.7026850032743942,0.5061320754716981,0.5884288456265424,0.6401342603692161,1073,454,1597,1047,1695,4171,results_with_cells_llama3.2:latest_test_examples_1695_zero_shot_naturalized.json
llama3.2:latest,test_examples,zero_shot,json,0.6240378922439314,0.4971698113207547,0.5534260960882121,0.5921841285063534,1054,635,1416,1066,1695,4171,results_with_cells_llama3.2:latest_test_examples_1695_zero_shot_json.json
llama3.2:latest,test_examples,zero_shot,markdown,0.678714859437751,0.6377358490566037,0.6575875486381323,0.6624310716854471,1352,640,1411,768,1695,4171,results_with_cells_llama3.2:latest_test_examples_1695_zero_shot_markdown.json
mistral:latest,test_examples,zero_shot,json,0.75,0.6014150943396226,0.6675392670157068,0.6955166626708223,1275,425,1626,845,1695,4171,results_with_cells_mistral:latest_test_examples_1695_zero_shot_json.json
mistral:latest,test_examples,zero_shot,naturalized,0.8260869565217391,0.4660377358490566,0.5958986731001207,0.6787341165188204,988,208,1843,1132,1695,4171,results_with_cells_mistral:latest_test_examples_1695_zero_shot_naturalized.json
mistral:latest,test_examples,zero_shot,html,0.7785280216070223,0.5438679245283019,0.6403776728686476,0.6895228961879645,1153,328,1723,967,1695,4171,results_with_cells_mistral:latest_test_examples_1695_zero_shot_html.json
mistral:latest,test_examples,zero_shot,markdown,0.7717319177173192,0.5485849056603773,0.6413013509787703,0.6880843922320786,1163,344,1707,957,1695,4171,results_with_cells_mistral:latest_test_examples_1695_zero_shot_markdown.json
deepseek-r1:8b,test_examples,zero_shot,html,0.8694347173586794,0.819811320754717,0.8438941490653071,0.8458403260608967,1738,261,1790,382,1695,4171,results_with_cells_deepseek-r1:8b_test_examples_1695_zero_shot_html.json
deepseek-r1:8b,test_examples,zero_shot,markdown,0.9147783251231527,0.8759433962264151,0.8949397590361445,0.8954687125389594,1857,173,1878,263,1695,4171,results_with_cells_deepseek-r1:8b_test_examples_1695_zero_shot_markdown.json
deepseek-r1:8b,test_examples,zero_shot,naturalized,0.9255631733594515,0.8915094339622641,0.9082172032676598,0.9084152481419324,1890,152,1899,230,1695,4171,results_with_cells_deepseek-r1:8b_test_examples_1695_zero_shot_naturalized.json
deepseek-r1:8b,test_examples,zero_shot,json,0.8900050226017077,0.8358490566037736,0.8620773534419849,0.8640613761687844,1772,219,1832,348,1695,4171,results_with_cells_deepseek-r1:8b_test_examples_1695_zero_shot_json.json
phi4:latest,test_examples,zero_shot,naturalized,0.9475709475709476,0.9292452830188679,0.9383186472969754,0.9379045792375929,1970,109,1942,150,1695,4171,results_with_cells_phi4:latest_test_examples_1695_zero_shot_naturalized.json
phi4:latest,test_examples,zero_shot,markdown,0.9437291368621841,0.9334905660377358,0.9385819302821912,0.9379045792375929,1979,118,1933,141,1695,4171,results_with_cells_phi4:latest_test_examples_1695_zero_shot_markdown.json
phi4:latest,test_examples,zero_shot,html,0.917963224893918,0.9183962264150943,0.918179674605046,0.9168065212179334,1947,174,1877,173,1695,4171,results_with_cells_phi4:latest_test_examples_1695_zero_shot_html.json
phi4:latest,test_examples,zero_shot,json,0.9015945330296128,0.9334905660377358,0.9172653534183083,0.9144090146247902,1979,216,1835,141,1695,4171,results_with_cells_phi4:latest_test_examples_1695_zero_shot_json.json
mistral:latest,test_examples,chain_of_thought,json,0.63719165085389,0.7919811320754717,0.7062039957939011,0.6650683289379046,1679,956,1095,441,1695,4171,results_with_cells_mistral:latest_test_examples_1695_chain_of_thought_json.json
mistral:latest,test_examples,chain_of_thought,markdown,0.6643437862950058,0.809433962264151,0.7297469700191367,0.695276912011508,1716,867,1184,404,1695,4171,results_with_cells_mistral:latest_test_examples_1695_chain_of_thought_markdown.json
mistral:latest,test_examples,chain_of_thought,naturalized,0.6925287356321839,0.7957547169811321,0.7405618964003512,0.7166147206904819,1687,749,1302,433,1695,4171,results_with_cells_mistral:latest_test_examples_1695_chain_of_thought_naturalized.json
mistral:latest,test_examples,chain_of_thought,html,0.6393188854489165,0.779245283018868,0.7023809523809523,0.6643490769599616,1652,932,1119,468,1695,4171,results_with_cells_mistral:latest_test_examples_1695_chain_of_thought_html.json
phi4:latest,test_examples,chain_of_thought,html,0.928390901432182,0.8995918367346939,0.9137645107794361,0.9139429044269756,1102,85,1107,123,1351,2417,results_with_cells_phi4:latest_test_examples_1351_chain_of_thought_html.json
phi4:latest,test_examples,chain_of_thought,json,0.8468934911242604,0.9346938775510204,0.8886301901435778,0.8812577575506827,1145,207,985,80,1351,2417,results_with_cells_phi4:latest_test_examples_1351_chain_of_thought_json.json
phi4:latest,test_examples,chain_of_thought,naturalized,0.9527243589743589,0.9296325254104769,0.9410368025326474,0.9409667194928685,1189,59,1186,90,1370,2524,results_with_cells_phi4:latest_test_examples_1370_chain_of_thought_naturalized.json
phi4:latest,test_examples,chain_of_thought,markdown,0.9474535165723524,0.9353551476456504,0.9413654618473896,0.9409385113268608,1172,65,1154,81,1361,2472,results_with_cells_phi4:latest_test_examples_1361_chain_of_thought_markdown.json
